product,hundred energy (kcal),hundred protein (g),hundred total fat (g),hundred saturated fat (g),hundred trans fat (g),hundred carbohydrate (g),hundred dietary fiber (g),hundred sugars (g),hundred sodium (mg),per serve,serve energy (kcal),serve protein (g),serve total fat (g),serve saturated fat (g),serve trans fat (g),serve carbohydrate (g),serve dietary fiber (g),serve sugars (g),serve sodium (mg)
BP_327901,28,0,0,0,0,6.5,,3.6,50,,,,,,,,,,
BP_327912,474,10.1,22.4,11.1,0,58.1,3.6,1.3,1786,,,,,,,,,,
BP_327965,248,14,18,13,0.8,7.5,2,6,815,,,,,,,,,,
BP_327984,,,,,,,,,,285g,160,6,3.5,1,0,26,,2,620
BP_328122,,,,,,,,,,15ml,120,0,14,1,0,0,0,0,0
BP_328171,810,0,90,12.2,0,0,0,0,0,15.5 ml,,,,,,,,,
BP_328602,89,3,1.6,1,0.1,15.7,0,12.4,53,135,120,4.1,2.2,1.3,0.1,21.1,0,16.7,72
BP_328677,80,0,0,0,0,19.4,1,16.9,0,140g,112,0,0,0,0,27.2,1.4,23.7,0
BP_329706,510,12,19,7,0,73,,9,950,80g,408,9,15,6,0,59,,7,760
BP_329967,,,,,,,,,,5ml,5,0.4,0,0,0,0.7,,0.5,327
BP_330780,362.7,0.6,34,5.2,0.4,12.6,0,8.8,699.8,,,,,,,,,,
BP_331196,,,,,,,,,,35g,21,0.6,0.5,0,0,3.5,1.9,1.2,686
BP_331268,45,0.7,3.4,0.3,0,1.1,0,1,2400,,,,,,,,,,
BP_331566,141,4.1,7.8,4.8,0,13.7,,13.7,60,,,,,,,,,,
BP_331738,114,22.9,2.3,0.7,0,1.5,1.2,0,7000,,,,,,,,,,
BP_331758,317,68.5,4.5,2.6,0,2.4,1.8,0,948,,,,,,,,,,
BP_332391,51,2.6,1.6,0.1,0,6.5,0.5,5.6,1.1,,,,,,,,,,
BP_333348,,,,,,,,,,14g,126,0,14,2.08,0.08,0,,0,0
BP_333368,529,10.7,29,15.2,0,58,,35.8,219,,,,,,,,,,
BP_333410,,,,,,,,,,100ml,0,0,0,0,0,0,,0,0
BP_333853,72,4.6,1.3,0.1,,6.7,,0,180,,,,,,,,,,
BP_333861,115,4.6,0.6,0.2,0,21,,16,200,,,,,,,,,,
BP_334231,404,0,0,0,0,99.4,,99.4,0,,,,,,,,,,
BP_334526,,,,,,,,,,5 ml,4,0.4,0,0,0,0.7,,0.5,327
BP_334528,,,,,,,,,,5ml,9,0.2,0,0,0,2.1,0,1.9,340
